state,year,sector,growth_rate_pct,verified
Maharashtra,2021-22,Agriculture & Allied,5.72,0
Maharashtra,2021-22,Industry,11.46,0
Maharashtra,2021-22,Services,12.8,0
Maharashtra,2022-23,Agriculture & Allied,6.11,0
Maharashtra,2022-23,Industry,7.19,0
Maharashtra,2022-23,Services,11.28,0
Maharashtra,2023-24,Agriculture & Allied,1.9,1
Maharashtra,2023-24,Industry,7.6,1
Maharashtra,2023-24,Services,8.8,1
Punjab,2021-22,Agriculture & Allied,2.53,0
Punjab,2021-22,Industry,5.99,0
Punjab,2021-22,Services,3.33,0
Punjab,2022-23,Agriculture & Allied,2.7,1
Punjab,2022-23,Industry,-0.14,0
Punjab,2022-23,Services,5.65,0
Punjab,2023-24,Agriculture & Allied,2.4,1
Punjab,2023-24,Industry,7.44,0
Punjab,2023-24,Services,3.18,0
Karnataka,2021-22,Agriculture & Allied,1.98,0
Karnataka,2021-22,Industry,5.4,0
Karnataka,2021-22,Services,6.18,0
Karnataka,2022-23,Agriculture & Allied,-1.8,1
Karnataka,2022-23,Industry,-2.92,0
Karnataka,2022-23,Services,9.12,0
Karnataka,2023-24,Agriculture & Allied,0.08,0
Karnataka,2023-24,Industry,7.73,0
Karnataka,2023-24,Services,9.47,0
Mizoram,2021-22,Agriculture & Allied,-0.22,0
Mizoram,2021-22,Industry,6.9,0
Mizoram,2021-22,Services,2.59,0
Mizoram,2022-23,Agriculture & Allied,7.23,0
Mizoram,2022-23,Industry,2.67,0
Mizoram,2022-23,Services,13.5,1
Mizoram,2023-24,Agriculture & Allied,0.65,0
Mizoram,2023-24,Industry,14.19,0
Mizoram,2023-24,Services,3.08,0
Tamil Nadu,2021-22,Agriculture & Allied,-0.59,0
Tamil Nadu,2021-22,Industry,7.42,0
Tamil Nadu,2021-22,Services,6.46,0
Tamil Nadu,2022-23,Agriculture & Allied,9.43,0
Tamil Nadu,2022-23,Industry,9.29,0
Tamil Nadu,2022-23,Services,8.15,0
Tamil Nadu,2023-24,Agriculture & Allied,5.77,0
Tamil Nadu,2023-24,Industry,12.22,0
Tamil Nadu,2023-24,Services,9.79,0
Gujarat,2021-22,Agriculture & Allied,-2.28,0
Gujarat,2021-22,Industry,1.99,0
Gujarat,2021-22,Services,7.85,0
Gujarat,2022-23,Agriculture & Allied,8.81,0
Gujarat,2022-23,Industry,2.97,0
Gujarat,2022-23,Services,5.08,0
Gujarat,2023-24,Agriculture & Allied,5.87,0
Gujarat,2023-24,Industry,10.69,0
Gujarat,2023-24,Services,6.05,0
Uttar Pradesh,2021-22,Agriculture & Allied,3.67,0
Uttar Pradesh,2021-22,Industry,7.73,0
Uttar Pradesh,2021-22,Services,5.32,0
Uttar Pradesh,2022-23,Agriculture & Allied,6.46,0
Uttar Pradesh,2022-23,Industry,4.07,0
Uttar Pradesh,2022-23,Services,11.39,0
Uttar Pradesh,2023-24,Agriculture & Allied,2.18,0
Uttar Pradesh,2023-24,Industry,7.34,0
Uttar Pradesh,2023-24,Services,7.56,0
West Bengal,2021-22,Agriculture & Allied,5.94,0
West Bengal,2021-22,Industry,9.17,0
West Bengal,2021-22,Services,8.82,0
West Bengal,2022-23,Agriculture & Allied,5.47,0
West Bengal,2022-23,Industry,6.45,0
West Bengal,2022-23,Services,8.35,0
West Bengal,2023-24,Agriculture & Allied,9.74,0
West Bengal,2023-24,Industry,14.29,0
West Bengal,2023-24,Services,10.97,0
Rajasthan,2021-22,Agriculture & Allied,10.13,0
Rajasthan,2021-22,Industry,10.34,0
Rajasthan,2021-22,Services,12.11,0
Rajasthan,2022-23,Agriculture & Allied,9.41,0
Rajasthan,2022-23,Industry,6.19,0
Rajasthan,2022-23,Services,6.33,0
Rajasthan,2023-24,Agriculture & Allied,7.11,0
Rajasthan,2023-24,Industry,16.71,0
Rajasthan,2023-24,Services,11.22,0
Madhya Pradesh,2021-22,Agriculture & Allied,1.16,0
Madhya Pradesh,2021-22,Industry,4.68,0
Madhya Pradesh,2021-22,Services,5.8,0
Madhya Pradesh,2022-23,Agriculture & Allied,6.1,0
Madhya Pradesh,2022-23,Industry,5.78,0
Madhya Pradesh,2022-23,Services,7.73,0
Madhya Pradesh,2023-24,Agriculture & Allied,2.12,0
Madhya Pradesh,2023-24,Industry,11.44,0
Madhya Pradesh,2023-24,Services,5.42,0
Telangana,2021-22,Agriculture & Allied,1.66,0
Telangana,2021-22,Industry,7.71,0
Telangana,2021-22,Services,13.9,0
Telangana,2022-23,Agriculture & Allied,6.72,0
Telangana,2022-23,Industry,2.79,0
Telangana,2022-23,Services,6.57,0
Telangana,2023-24,Agriculture & Allied,0.29,0
Telangana,2023-24,Industry,12.38,0
Telangana,2023-24,Services,8.13,0
Andhra Pradesh,2021-22,Agriculture & Allied,1.83,0
Andhra Pradesh,2021-22,Industry,3.69,0
Andhra Pradesh,2021-22,Services,9.08,0
Andhra Pradesh,2022-23,Agriculture & Allied,2.21,0
Andhra Pradesh,2022-23,Industry,5.21,0
Andhra Pradesh,2022-23,Services,3.87,0
Andhra Pradesh,2023-24,Agriculture & Allied,-1.01,0
Andhra Pradesh,2023-24,Industry,9.46,0
Andhra Pradesh,2023-24,Services,7.05,0
Kerala,2021-22,Agriculture & Allied,1.55,0
Kerala,2021-22,Industry,9.59,0
Kerala,2021-22,Services,9.59,0
Kerala,2022-23,Agriculture & Allied,4.76,0
Kerala,2022-23,Industry,3.31,0
Kerala,2022-23,Services,13.4,0
Kerala,2023-24,Agriculture & Allied,2.76,0
Kerala,2023-24,Industry,10.62,0
Kerala,2023-24,Services,10.02,0
Haryana,2021-22,Agriculture & Allied,3.57,0
Haryana,2021-22,Industry,10.21,0
Haryana,2021-22,Services,9.88,0
Haryana,2022-23,Agriculture & Allied,5.87,0
Haryana,2022-23,Industry,6.47,0
Haryana,2022-23,Services,8.87,0
Haryana,2023-24,Agriculture & Allied,1.32,0
Haryana,2023-24,Industry,10.96,0
Haryana,2023-24,Services,6.26,0
Bihar,2021-22,Agriculture & Allied,1.22,0
Bihar,2021-22,Industry,3.84,0
Bihar,2021-22,Services,9.04,0
Bihar,2022-23,Agriculture & Allied,1.78,0
Bihar,2022-23,Industry,-0.66,0
Bihar,2022-23,Services,9.25,0
Bihar,2023-24,Agriculture & Allied,1.24,0
Bihar,2023-24,Industry,13.26,0
Bihar,2023-24,Services,6.39,0
Odisha,2021-22,Agriculture & Allied,-1.85,0
Odisha,2021-22,Industry,4.47,0
Odisha,2021-22,Services,5.47,0
Odisha,2022-23,Agriculture & Allied,0.4,0
Odisha,2022-23,Industry,0.85,0
Odisha,2022-23,Services,1.82,0
Odisha,2023-24,Agriculture & Allied,0.39,0
Odisha,2023-24,Industry,4.87,0
Odisha,2023-24,Services,4.57,0
Assam,2021-22,Agriculture & Allied,7.62,0
Assam,2021-22,Industry,13.68,0
Assam,2021-22,Services,5.9,0
Assam,2022-23,Agriculture & Allied,7.99,0
Assam,2022-23,Industry,8.21,0
Assam,2022-23,Services,11.75,0
Assam,2023-24,Agriculture & Allied,1.67,0
Assam,2023-24,Industry,14.02,0
Assam,2023-24,Services,13.34,0
Chhattisgarh,2021-22,Agriculture & Allied,1.7,0
Chhattisgarh,2021-22,Industry,7.79,0
Chhattisgarh,2021-22,Services,3.66,0
Chhattisgarh,2022-23,Agriculture & Allied,3.16,0
Chhattisgarh,2022-23,Industry,-1.87,0
Chhattisgarh,2022-23,Services,2.87,0
Chhattisgarh,2023-24,Agriculture & Allied,-2.44,0
Chhattisgarh,2023-24,Industry,9.09,0
Chhattisgarh,2023-24,Services,4.08,0
Jharkhand,2021-22,Agriculture & Allied,3.06,0
Jharkhand,2021-22,Industry,9.58,0
Jharkhand,2021-22,Services,12.71,0
Jharkhand,2022-23,Agriculture & Allied,8.01,0
Jharkhand,2022-23,Industry,2.4,0
Jharkhand,2022-23,Services,11.47,0
Jharkhand,2023-24,Agriculture & Allied,3.31,0
Jharkhand,2023-24,Industry,14.47,0
Jharkhand,2023-24,Services,9.96,0
Uttarakhand,2021-22,Agriculture & Allied,6.23,0
Uttarakhand,2021-22,Industry,5.8,0
Uttarakhand,2021-22,Services,7.41,0
Uttarakhand,2022-23,Agriculture & Allied,8.97,0
Uttarakhand,2022-23,Industry,5.59,0
Uttarakhand,2022-23,Services,13.18,0
Uttarakhand,2023-24,Agriculture & Allied,5.72,0
Uttarakhand,2023-24,Industry,12.17,0
Uttarakhand,2023-24,Services,12.44,0
Himachal Pradesh,2021-22,Agriculture & Allied,-3.25,0
Himachal Pradesh,2021-22,Industry,11.54,0
Himachal Pradesh,2021-22,Services,2.01,0
Himachal Pradesh,2022-23,Agriculture & Allied,4.68,0
Himachal Pradesh,2022-23,Industry,4.53,0
Himachal Pradesh,2022-23,Services,6.65,0
Himachal Pradesh,2023-24,Agriculture & Allied,-3.22,0
Himachal Pradesh,2023-24,Industry,12.52,0
Himachal Pradesh,2023-24,Services,2.08,0
Goa,2021-22,Agriculture & Allied,-0.09,0
Goa,2021-22,Industry,7.28,0
Goa,2021-22,Services,6.46,0
Goa,2022-23,Agriculture & Allied,4.04,0
Goa,2022-23,Industry,0.0,0
Goa,2022-23,Services,4.78,0
Goa,2023-24,Agriculture & Allied,-2.93,0
Goa,2023-24,Industry,8.12,0
Goa,2023-24,Services,6.1,0
Delhi,2021-22,Agriculture & Allied,4.09,0
Delhi,2021-22,Industry,5.97,0
Delhi,2021-22,Services,6.32,0
Delhi,2022-23,Agriculture & Allied,4.2,0
Delhi,2022-23,Industry,2.71,0
Delhi,2022-23,Services,8.78,0
Delhi,2023-24,Agriculture & Allied,2.45,0
Delhi,2023-24,Industry,15.35,0
Delhi,2023-24,Services,6.15,0
Tripura,2021-22,Agriculture & Allied,0.45,0
Tripura,2021-22,Industry,7.6,0
Tripura,2021-22,Services,9.65,0
Tripura,2022-23,Agriculture & Allied,2.39,0
Tripura,2022-23,Industry,3.22,0
Tripura,2022-23,Services,9.24,0
Tripura,2023-24,Agriculture & Allied,1.83,0
Tripura,2023-24,Industry,9.85,0
Tripura,2023-24,Services,9.28,0
Manipur,2021-22,Agriculture & Allied,4.69,0
Manipur,2021-22,Industry,11.12,0
Manipur,2021-22,Services,11.46,0
Manipur,2022-23,Agriculture & Allied,4.03,0
Manipur,2022-23,Industry,2.68,0
Manipur,2022-23,Services,8.8,0
Manipur,2023-24,Agriculture & Allied,2.46,0
Manipur,2023-24,Industry,7.04,0
Manipur,2023-24,Services,10.68,0
Meghalaya,2021-22,Agriculture & Allied,5.38,0
Meghalaya,2021-22,Industry,5.11,0
Meghalaya,2021-22,Services,11.66,0
Meghalaya,2022-23,Agriculture & Allied,3.27,0
Meghalaya,2022-23,Industry,3.57,0
Meghalaya,2022-23,Services,4.44,0
Meghalaya,2023-24,Agriculture & Allied,2.22,0
Meghalaya,2023-24,Industry,11.06,0
Meghalaya,2023-24,Services,6.88,0
Nagaland,2021-22,Agriculture & Allied,4.53,0
Nagaland,2021-22,Industry,11.32,0
Nagaland,2021-22,Services,8.11,0
Nagaland,2022-23,Agriculture & Allied,3.09,0
Nagaland,2022-23,Industry,4.63,0
Nagaland,2022-23,Services,10.35,0
Nagaland,2023-24,Agriculture & Allied,6.59,0
Nagaland,2023-24,Industry,14.51,0
Nagaland,2023-24,Services,3.76,0
Sikkim,2021-22,Agriculture & Allied,7.91,0
Sikkim,2021-22,Industry,8.91,0
Sikkim,2021-22,Services,7.86,0
Sikkim,2022-23,Agriculture & Allied,6.23,0
Sikkim,2022-23,Industry,3.3,0
Sikkim,2022-23,Services,10.25,0
Sikkim,2023-24,Agriculture & Allied,3.32,0
Sikkim,2023-24,Industry,15.84,0
Sikkim,2023-24,Services,9.3,0
